ax: -0.200302 | ay: 0.0581665 | az: 0.108276
ax: -0.218338 | ay: 0.0903168 | az: 0.0846405
ax: -0.298874 | ay: 0.0971832 | az: 0.053299
ax: -0.476624 | ay: 0.158005 | az: 0.063858
ax: -0.820007 | ay: 0.286163 | az: 0.0367737
ax: -1.07495 | ay: 0.956238 | az: 0.0351105
ax: -1.02917 | ay: 1.44856 | az: 0.21611
ax: -1.10254 | ay: 0.837753 | az: 0.318924
ax: -0.78035 | ay: 0.456131 | az: 0.276367
ax: -0.751846 | ay: 0.832367 | az: -0.263138
ax: -0.250412 | ay: 0.943588 | az: -0.1866
ax: 0.576172 | ay: 0.157837 | az: -0.0240326
ax: 0.332886 | ay: -0.420822 | az: -0.478195
ax: 0.253708 | ay: 0.489044 | az: 0.314682
ax: 0.578568 | ay: 0.758728 | az: 0.345139
time: 8
[20210722075745.953]
> sum ax: -13.0739 | sum ay: -5.29985 | sum az: -5.25781
>> avg ax: -0.261478 | avg ay: -0.105997 | avg az: -0.105156
>>> vx: -1.28124 | vy: -0.519385 | vz: -0.515266
>>> sx: -0.794349 | sy: -0.997914 | sz: -0.535884
>>> a: 0.301105
>>> v: 1.47541
>>> s: 1.38347

ax: 0.60907 | ay: 0.722412 | az: 0.343857
ax: 0.649704 | ay: 0.543381 | az: 0.272461
ax: 0.591125 | ay: 0.479721 | az: 0.220428
ax: 0.54953 | ay: 0.319839 | az: 0.186432
ax: 0.50412 | ay: 0.224564 | az: 0.169418
ax: 0.408829 | ay: 0.154205 | az: 0.135605
ax: 0.312195 | ay: 0.136139 | az: 0.110031
ax: 0.0715485 | ay: 0.0343628 | az: 0.0197449
ax: -0.203903 | ay: -0.311142 | az: 0.0139008
ax: -0.636002 | ay: -0.283875 | az: -0.141678
ax: -1.05379 | ay: -0.76535 | az: -0.462799
ax: -1.09058 | ay: -1.50569 | az: -0.795181
ax: -1.12393 | ay: -1.77547 | az: -1.12276
ax: -0.812408 | ay: -2.02145 | az: -1.37227
ax: -0.381302 | ay: -2.17216 | az: -1.15833
ax: -0.517029 | ay: -1.59081 | az: -1.15688
ax: -0.0129395 | ay: -0.745636 | az: -0.736969
ax: -0.497787 | ay: 1.22935 | az: 0.956879
ax: -0.246933 | ay: -0.118652 | az: 0.232651
ax: -0.635666 | ay: -0.96228 | az: -0.200424
ax: -0.197876 | ay: -0.212418 | az: -0.225861
ax: -0.110779 | ay: -0.337326 | az: -0.43486
ax: -0.0776672 | ay: -0.278671 | az: -0.20462
ax: -0.0558319 | ay: -0.470764 | az: -0.0354004
ax: -0.057724 | ay: -0.139053 | az: -0.11467
ax: -0.066391 | ay: -0.0891113 | az: -0.107544
ax: -0.119675 | ay: -0.102417 | az: -0.0408173
ax: -0.054306 | ay: -0.0117798 | az: -0.0232849
ax: 0.0289612 | ay: 0.0922394 | az: -0.0260162
